;statement;issue;person;channel;truth
10668;"President Barack Obama and Secretary of State John Kerry agreed ""to lift Iran’s economic and arms sanctions without any proof of change in conduct.""";nuclear;Lynn Westmoreland; in press release;false
10669;"The Iran deal ""trusts the Iranians to inspect themselves.""";nuclear;Ted Cruz; in a speech to the Greater Houston Partnership;false
10670;"""The Iran Deal will facilitate and accelerate the nation of Iran acquiring nuclear weapons.""";nuclear;Ted Cruz; in a tweet;false
10671;"Under the Nuclear Nonproliferation Treaty ""enrichment has been limited to basically the weapons states.""";nuclear;Dick Cheney;" in an interview on MSNBC's ""Morning Joe""";false
10672;"The nuclear agreement with Iran ""never sunsets. There's no sunset in this agreement.""";nuclear;John Kerry;" in an interview on MSNBC's ""Morning Joe""";half-true
10673;"Democratic Sens. Ed Markey, Al Franken and Jeanne Shaheen ""took Bribes From Iran … They Back Insane NUKE Deal.""";nuclear;Bloggers; in posts on the Internet;pants-fire
10674;"""I was one of the few, very few, who voted `no’ on the Iran deal.""";nuclear;Dave Brat; in a speech.;false
10675;"Says ""if the (Iran nuclear) deal gets rejected, they still get"" $150 billion.";nuclear;Donald Trump;" in an interview on ""Meet the Press""";half-true
10676;"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""";nuclear;Bill O'Reilly;" in an interview on ""The O'Reilly Factor""";mostly-true
10677;President Barack Obama met with Iranian president Hassan Rouhani.;nuclear;Restoration PAC; in a TV ad;pants-fire
10678;"President Barack Obama ""said at the beginning of the negotiations that the basic approach was to dismantle Iran’s nuclear program in exchange for dismantling the sanctions.""";nuclear;Tom Cotton;" in an interview on CNN's ""New Day""";false
10679;"The Iran deal ""violates promises the president made to the American people."" ... ""It is not an anytime, anywhere inspection process.""";nuclear;Marco Rubio;" in comments on CNN's ""State of the Union""";half-true
10680;"""In a few months, this deal would give Iran $150 billion"" for its $300 billion to $400 billion economy, which is ""like $8 trillion flowing into the United States treasury.""";nuclear;Ron Dermer; in a speech to a pro-Israel Christian group;barely-true
10681;"""Obama keeps talking about getting rid of all nuclear weapons. He’s already significantly reduced our capabilities there.""";nuclear;Dick Cheney;" in an appearance on ""Hannity""";barely-true
10682;"""Thanks to the Obama administration’s negotiations, Iran’s nuclear program will be under lock, key and camera 24 hours a day, 365 days a year.""";nuclear;Don Beyer; in an op-ed;half-true
10683;"""Even our nuclear arsenal doesn't work. It came out recently they have equipment that is 30 years old. They don't know if it worked.""";nuclear;Donald Trump; in his presidential announcement speech;false
10684;"""Amendments (Hillary Clinton) supported and voted for in 2006, she no longer supported in 2008,"" showing she changed positions on an India nuclear deal.";nuclear;Peter Schweizer; in an interview with NBC's Andrea Mitchell;false
10685;"The United States ""is not modernizing its nuclear weapons.""";nuclear;Marco Rubio; in Faith and Freedom Summit in Iowa;false
10686;"""The Iranians are now saying that what we're saying the deal is and what they understand it to be are two different things.""";nuclear;Marco Rubio; in an interview on National Public Radio;true
10687;"""Iran’s defense budget is $30 billion. Our defense budget is closer to $600 billion.""";nuclear;Barack Obama; in an interview with the 'New York Times.';mostly-true
10688;"""Rand Paul supports Obama's negotiations with Iran.""";nuclear;Foundation for a Secure and Prosperous America; in an ad;barely-true
10689;"The IAEA, or the International Atomic Energy Agency, ""last month said the Iranians are not currently living up to their obligations.""";nuclear;Liz Cheney;" in comments on ""Fox News Sunday""";mostly-true
10690;"""A few weeks ago Obama took Hamas and Iran OFF the terror list.""";nuclear;Glenn Beck; in a Facebook post;false
10691;"Says that ""Susan Rice, the president's national security adviser, has already conceded that Iran will have a robust uranium enrichment capability.""";nuclear;Tom Cotton; in an interview on Fox News;barely-true
10692;"""Here, we have Thanksgiving, we have Christmas, we have the 4th of July. Every year in Iran, they celebrate Death to America day.""";nuclear;Ted Cruz; in an interview with Hugh Hewitt;barely-true
10693;"""The Iranian parliament will get to say yes or no on this deal, and I think the United States Congress should have the exact same input into the process.""";nuclear;Ron Johnson; in an interview on 'Fox News Sunday';barely-true
10694;The potential Iran nuclear agreement would limit Iran to the number of centrifuges needed for a weapon but too few for a nuclear power program.;nuclear;Michael Morell;" in a broadcast of ""Charlie Rose""";true
10695;"""We've caught Iran cheating on the interim (nuclear) deal.""";nuclear;Stephen Hayes;" in a panel discussion on ""Fox News Sunday""";barely-true
10696;"Since the United States began negotiations with Iran, ""that's probably the first year and a half in which Iran has not advanced its nuclear program in the last decade.""";nuclear;Barack Obama;" in comments on CNN's ""State of the Union""";mostly-true
10697;"""The administration was kicking and screaming all the way with these sanctions being put in place (on Iran).""";nuclear;Bob Corker; in an interview on Fox News Sunday;barely-true
10698;"""Just days ago, Iran's Supreme Leader (Ali) Khamenei, who will oversee implementation of this agreement, was calling Israel a 'rabid dog' and accusing the United States of war crimes.""";nuclear;Marco Rubio; in a press release;true
10699;"North Korea has a ""substantial standing army, one of the largest, certainly the largest per capita, in the world.""";nuclear;Jack Reed; in a television interview;true
10700;"Says Chuck Hagel has called for ""an end to our nuclear program.""";nuclear;Americans for a Strong Defense; in a television ad;barely-true
10701;"""Pakistan has 100 nuclear warheads and they’re rushing to build a lot more. They’ll have more than Great Britain sometime in the relatively near future.""";nuclear;Mitt Romney; in the third presidential debate in Boca Raton, Fla.;mostly-true
10702;"Says the Obama administration ""watered down sanctions"" against Iran, delayed them and tried to stop Congress ""from putting the tough sanctions in place.""";nuclear;Paul Ryan; in the vice presidential debate;barely-true
10703;"The Obama administration ""willfully leaked the existence of STUXNET (a computer worm used against Iran), allowing our enemies to learn more of our secrets and of our operations.""";nuclear;Special Operations OPSEC Education Fund; in a Web video;half-true
10704;"""We supported the first new nuclear power plant in three decades.""";nuclear;Barack Obama; in a speech in Miami;mostly-true
10705;"""This president ... could have gotten crippling sanctions against Iran. He did not.""";nuclear;Mitt Romney; in in a Republican presidential debate in Mesa, Ariz.;barely-true
10706;"Says Mahmoud Ahmadinejad said that ""if he has a nuclear weapon he will use it to wipe Israel off the face of the earth. He will use it against the United States of America.""";nuclear;Michele Bachmann; in a foreign policy debate in Washington, D.C.;false
10707;"China is ""trying to develop nuclear capability.""";nuclear;Herman Cain;" in an interview on ""PBS Newshour""";pants-fire
10708;"""Just a little over 60 percent of your electric bill, my electric bill, 60 percent of that is pass-throughs, whether they be for building of nuclear plants or whatever they may be."" A planned nuclear plant repair ""will only increase that percentage.""";nuclear;Mike Fasano; in a news article;mostly-true
10709;"""I built the last nuclear plant — not only in the state, but in the country.""";nuclear;Tom Kean; in a question-and-answer column in The Star-Ledger;half-true
10710;"""There has never been a death caused by a [commercial nuclear] reactor in the United States, even when Three Mile Island failed in the 1970s.""";nuclear;Johnny Isakson; in a YouTube.com video;true
10711;"""Most Americans live within 50 miles of a nuclear power plant.""";nuclear;Lawrence O'Donnell;" in MSNBC's ""Last Word""";true
10712;"""There is a growing body of evidence that radiation in excess of what the government says are the minimum amounts you should be exposed to are actually good for you and reduce cases of cancer.""";nuclear;Ann Coulter;" in Fox's ""O'Reilly Factor""";barely-true
10713;"""The New START treaty was passed despite significant concerns among some people in the State and Defense Departments.""";nuclear;Bill  Janis; in a floor speech in the House of Delegates.;barely-true
10714;"Obama's position on nuclear arms is a ""march toward global zero.""";nuclear;Jon Kyl;" in an interview on NBC's ""Meet the Press""";mostly-true
10715;On the use of presidentially appointed commissions.;nuclear;Barack Obama; in a campaign speech in Grand Junction, Colo.;full-flop
10716;"""No member of the American public has ever been killed by commercial nuclear power — a record unmatched by other fuels.""";nuclear;Lamar Alexander; in an op-ed article;true
10717;"""We have solved the problem. ... Scientists are now saying leave the nuclear waste where it is.""";nuclear;Harry Reid; in a television interview with Las Vegas political analyst Jon Ralston;false
10718;“Barack Obama’s real father is Communist Party propagandist Frank Marshall Davis.”;obama-birth-certificate;Viral image; in a Facebook post;pants-fire
10719;“Obama certificate a fake.”;obama-birth-certificate;Bloggers; in a blog post;pants-fire
10720;"""Obama’s lawyers officially admit birth certificate is fake.""";obama-birth-certificate;Bloggers; in a Facebook post;pants-fire
10721;"""Kamala Harris is NOT eligible to be President.""";obama-birth-certificate;Jacob Wohl; in a tweet;pants-fire
10722;"""Barack Obama: I'm 'the First Sitting American President to Come From Kenya.'""";obama-birth-certificate;SupremeInsider.com; in a blog post;barely-true
10723;"Says top Clinton advisers ""were pressing"" birther movement stories ""very hard.""";obama-birth-certificate;Donald Trump; in a presidential debate;false
10724;"""I finished"" the controversy about where President Barack Obama was born.";obama-birth-certificate;Donald Trump; in in a speech;pants-fire
10725;"""Hillary Clinton and her campaign of 2008 started the birther controversy.""";obama-birth-certificate;Donald Trump; in a speech;false
10726;On whether Barack Obama was born in the United States.;obama-birth-certificate;Donald Trump; in comments at a speech;full-flop
10727;"""Her campaign and her supporters in her campaign were the ones that borne out the birther movement.""";obama-birth-certificate;Reince Priebus; in an interview on NBC's Meet the Press;half-true
10728;"Barack Obama’s Columbia University ID says he was a foreign student and went by ""Barry Soetoro.""";obama-birth-certificate;Facebook posts; in multiple posts;pants-fire
10729;"""The birther movement was started by Hillary Clinton in 2008. She was all in!""";obama-birth-certificate;Donald Trump; in a tweet;false
10730;"""You know our current president is (Muslim). You know he's not even an American.""";obama-birth-certificate;Town hall audience member; in a town hall held by Donald Trump in Rochester, N.H.;pants-fire
10731;"Says a federal judge ""sanctions Tennessee ‘birther’ lawyer … for bringing a frivolous lawsuit.""";obama-birth-certificate;Tennessee Democratic Party; in in a press release.;true
10732;Says Hawaii Gov. Neil Abercrombie made a late-night visit to Kinko’s to forge President Barack Obama’s birth certificate two days before Obama unveiled it to the media.;obama-birth-certificate;Chain email; in e-mail messages circulating on the Internet;pants-fire
10733;Says stories about his birth certificate drowned out media coverage of the Republican and White House budget plans the week of April 11.;obama-birth-certificate;Barack Obama; in a press conference;false
10734;Says the hospital listed on Barack Obama’s just-publicized long-form birth certificate denies the president was born there.;obama-birth-certificate;Leo Berman; in a Texas Tribune article;pants-fire
10735;President Obama has spent over $2 million in legal fees defending lawsuits about his birth certificate.;obama-birth-certificate;Donald Trump;" in an interview on NBC's ""Today"" show";false
10736;"Says President Obama's ""grandmother in Kenya said he was born in Kenya and she was there and witnessed the birth.""";obama-birth-certificate;Donald Trump;" in a ""Today Show"" interview";false
10737;A bill before the Georgia General Assembly would make presidential candidates meet citizenship requirements that are not in the U.S. Constitution.;obama-birth-certificate;Loren Collins; in an op-ed in The Atlanta Journal-Constitution;true
10738;Says Barack Obama grew up in Kenya.;obama-birth-certificate;Mike Huckabee; in an interview on a radio show;false
10739;"Says the Hawaii governor ""can’t find anything that says (President Barack Obama) was born in Hawaii.""";obama-birth-certificate;Leo Berman; in a news article;false
10740;"""The people that went to school with (Barack Obama), they never saw him, they don't know who he is.""";obama-birth-certificate;Donald Trump; in a speech at the CPAC conference;pants-fire
10741;President Obama is a Muslim.;obama-birth-certificate;18% of the American public; in a Pew Research Center poll;pants-fire
10742;"Republican candidate for Georgia governor ""dabbled"" in birther conspiracy theories.";obama-birth-certificate;Bloggers; in liberal blogs;mostly-true
10743;"""Obama admits he is not a citizen.""";obama-birth-certificate;Chain email; in referring to a YouTube video;pants-fire
10744;When Obama went to Pakistan in 1981, he could not have been traveling as a U.S. citizen.;obama-birth-certificate;Chain email; in a chain e-mail.;pants-fire
10745;A transcript released by Occidental College proves that Barack Obama was an Indonesian citizen.;obama-birth-certificate;Chain email; in a chain e-mail;pants-fire
10746;Justice Antonin Scalia agreed for the Supreme Court to hear a case about whether Barack Obama is eligible to be President.;obama-birth-certificate;Chain email; in a chain e-mail;pants-fire
10747;Birthers have obtained a copy of Obama's Kenyan birth certificate.;obama-birth-certificate;Orly Taitz; in an attachment to a lawsuit;pants-fire
10748;"White House spokesman Robert Gibbs ""lied"" when he said President Obama's birth certificate is posted on the Internet.";obama-birth-certificate;WorldNetDaily; in an advertisement;false
10749;"The Free Flow of Information Act of 2009 ""would guarantee Barack Obama will never be held accountable for producing forged birth documents.""";obama-birth-certificate;Chain email; in an e-mail received by many people.;pants-fire
10750;"""His true name is Barak Hussein Muhammed Obama.""";obama-birth-certificate;Chain email;;pants-fire
10751;"""According to The Book of Revelations the anti-christ ... will be a man, in his 40s, of MUSLIM descent ... is it OBAMA??""";obama-birth-certificate;Chain email; in a chain e-mail;pants-fire
10752;"When Obama was sworn into office, ""he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""";obama-birth-certificate;Chain email;;pants-fire
10753;"""Obama was enrolled in a Wahabi school in Jakarta. Wahabism is the RADICAL teaching that is followed by the Muslim terrorists who are now waging Jihad against the western world.""";obama-birth-certificate;Chain email;;pants-fire
10754;"Milwaukee ""incarcerates 1.2% of white men"" and has ""incarcerated over 50% of black men in their 30s.""";occupy-wall-street;Facebook posts; in a meme circulated on Facebook;half-true
10755;Michelle Nunn has praised the Occupy movement.;occupy-wall-street;National Republican Senatorial Committee; in a press release;barely-true
10756;"""Barack Hussein Obama will ... force local authorities to allow Occupy protesters to live in parks.""";occupy-wall-street;Government is Not God PAC; in a newspaper ad;pants-fire
10757;"""In 1950, corporations paid $3 in taxes for every $1 by a worker. Today, they pay 22 cents for every $1 by a worker.""";occupy-wall-street;Facebook posts; in on the Internet;barely-true
10758;"""Bank of America could create 878,300 jobs with benefits if they spent their 2010 bonuses on job creation.""";occupy-wall-street;Facebook posts; in a Facebook post;pants-fire
10759;"""Following the catastrophic, cascading collapse of major investment banks on Wall Street in 2007.....Nobody was prosecuted, no hearings were held and no reforms were implemented.""";occupy-wall-street;Michael Doherty; in a news release;false
10760;1 percent of Americans are millionaires. 47 percent of House Reps. are millionaires. 56 percent of Senators are millionaires.;occupy-wall-street;Facebook posts; in Facebook;half-true
10761;"""If [Atlanta Mayor Kasim Reed] wants to be like Bull Connor, then so be it.""";occupy-wall-street;Vincent Fort; in a newspaper column;pants-fire
10762;"""Minimum wage = $16,000/year CEO-Goldman Sachs (Lloyd Blankfein) $16,000/Hour.""";occupy-wall-street;Occupy Providence; in a protest sign;false
10763;"Congressional Republicans have introduced dozens of bills on social issues and other topics, but ""zero on job creation.""";occupy-wall-street;Facebook posts; in an Internet post;pants-fire
10764;On letting Occupy Atlanta protesters stay in Woodruff Park.;occupy-wall-street;Kasim Reed; in statements to the public;no-flip
10765;"""94 percent of winning candidates in 2010 had more money than their opponents.""";occupy-wall-street;Occupy Wall Street; in a sign at an Occupy Wall Street protest;mostly-true
10766;"Says ""There are now Occupy Wall Street camps in hundreds of cities across the United States.""";occupy-wall-street;Sam Adams; in in a press conference;barely-true
10767;"""According to Wikipedia, there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth.""";occupy-wall-street;Alan Grayson;" in an interview on MSNBC's ""The Rachel Maddow Show""";true
10768;"""More than 25 million Americans are unemployed. More than 50 million live without health insurance. Perhaps 100 million live in poverty.""";occupy-wall-street;Occupied Wall Street Journal; in an article;half-true
10769;Say the ratio of CEO pay to average worker pay in the U.S. is 475 to 1.;occupy-wall-street;Facebook posts; in postings on Facebook, blogs, and social-media sites;false
10770;"U.S. unemployment among people ages 16 to 24 is ""18.4 percent, which is a 60-year high.""";occupy-wall-street;Matthew Rothschild; in an interview;mostly-true
10771;"""Not a single banker, a CEO from Wall Street, anyone from corporate America — nobody, (there was) not one arrest of any of these people who brought down the economy in 2008.""";occupy-wall-street;Michael Moore;" in an interview on ""Democracy Now""";mostly-true
10772;"""Today, you have six financial institutions, the largest six, that have assets that are the equivalent of 60 percent of the GDP of the United States of America.""";occupy-wall-street;Bernie Sanders; in an interview with MSNBC;true
10773;"""Trump looking to open up E Coast & new areas for offshore oil drilling when Congress has passed no new safety standards since BP""";oil-spill;Edward  Markey; in a tweet;true
10774;"The Keystone XL pipeline ""doesn’t even have any oil for America.""";oil-spill;Kirsten Gillibrand; in an interview in the Press-Republican newspaper in Plattsburgh;barely-true
10775;On oil drilling off Florida’s coast;oil-spill;Charlie Crist; in newspaper articles;no-flip
10776;"""We had 6,000 oil and gas spills in 2012"" with ""more oil and gas spreading in the United States than the entire Exxon Valdez spill.""";oil-spill;Josh Fox;" in an interview on MSNBC's ""Melissa Harris-Perry""";mostly-true
10777;"Says Connie Mack ""is protecting Chevron oil from a multi-billion dollar lawsuit over pollution of rivers and rainforests.""";oil-spill;Bill Nelson; in a TV attack ad;half-true
10778;"Says oil ""production's down where Obama's in charge.""";oil-spill;Crossroads GPS; in a Web ad;half-true
10779;"The RESTORE Act started as an ""effort to dedicate as much BP fine money as possible towards Gulf Coast restoration"" but now ""could steer money to places like the Great Lakes and West Coast.""";oil-spill;Marco Rubio; in a press release;half-true
10780;"Florida's economy ""became a bad economy ... because of a huge spike in oil prices in the summer of 2008.""";oil-spill;Rick Santorum; in a Republican presidential debate in Tampa, Fla.;barely-true
10781;"Says it wasn't until he and a Senate colleague were able to ""wrangle the actual streaming video"" from BP that scientists were able to calculate the oil spill flow.";oil-spill;Bill Nelson; in a Senate floor speech;mostly-true
10782;Says the Panhandle has had its highest-ever bed tax collections in 2011.;oil-spill;Rick Scott;" in an interview on MSNBC's ""Morning Joe""";mostly-true
10783;"Says President Barack Obama ""has put (up) a stop sign … against oil drilling, against any kind of exploration offshore or in Alaska.""";oil-spill;Rick Santorum; in a Republican presidential debate;false
10784;"""We're going to be looking at $8 billion a day that we're going to be pouring into foreign countries in order to import that make-up fuel that we're going to need to take the place of what we could have gotten out of the gulf.""";oil-spill;Sarah Palin; in an interview on Fox;pants-fire
10785;"We are looking at ""150,000 barrels (of oil) per day less next year, and 200,000 barrels per day less being able to be developed from the gulf the year after"" because of the moratorium on new drilling enacted by the Obama administration.";oil-spill;Sarah Palin; in an interview on Fox News;barely-true
10786;Says he couldn't keep a 42-inch redfish he caught because of fishing rules.;oil-spill;Adam Putnam; in a posting on Twitter;true
10787;"""One. That's the number of new drilling permits under the Obama administration since they came into office.""";oil-spill;Michele Bachmann; in a speech at the Conservative Principles PAC Conference;pants-fire
10788;"""Oil production from federal waters in the Gulf of Mexico reached an all-time high"" in 2010.";oil-spill;Barack Obama; in a press conference;half-true
10789;"""For the first time in more than a decade, imports accounted for less than half of (the oil) we consumed.""";oil-spill;Barack Obama; in a press conference;half-true
10790;"""A 5 percent increase in domestic production would increase the world supply by less than 1 percent and do almost nothing to our dependence on foreign oil. This would also have virtually no effect on the price of gas at the pump.""";oil-spill;Debbie Wasserman Schultz; in a press release;true
10791;"""150,000 (oil spill) claims have been filed by Floridians, but only 40 percent of them have been paid.""";oil-spill;Alex Sink; in a meeting of the Florida Cabinet;true
10792;On offshore oil drilling.;oil-spill;Rick Scott; in an interview on CNN.;no-flip
10793;"Proposed tax changes are a ""handout"" to BP.";oil-spill;National Taxpayers Union; in a television commercial;half-true
10794;"""More than three-quarters of the oil is gone.""";oil-spill;Carol Browner;" in NBC's ""Today Show.""";half-true
10795;"Dave Aronberg ""was the first to demand that BP create a billion-dollar fund to pay for the devastation.""";oil-spill;Dave Aronberg; in a mailer;half-true
10796;"House Republicans who complained they didn't have enough time to consider a constitutional ban against oil drilling ""shoved through a proposal in just a few days to open state waters to oil drilling.""";oil-spill;Alex Sink; in remarks to reporters.;true
10797;"Dan Gelber's employment by BP's law firm ""could disqualify him from representing Florida against BP as Attorney General.""";oil-spill;Dave Aronberg; in an e-mail to supporters.;barely-true
10798;"""$120,000 will be spent by taxpayers on Charlie Crist's political photo-op special session.""";oil-spill;Marco Rubio; in a press release;mostly-true
10799;"On whether BP's $20 billion fund to compensate oil spill victims is ""a slush fund.""";oil-spill;Sharron Angle; in a local radio interview;full-flop
10800;"""Subsidies for oil and gas companies make up 88 percent of all federal subsidies. Just cutting the oil and gas subsidies out would save the U.S. government $45 billion every year.""";oil-spill;Keith Olbermann; in a comment on MSNBC's 'Countdown with Keith Olbermann';false
10801;"""Alexi Giannoulias' top aide was a longtime BP lobbyist.""";oil-spill;Mark Kirk; in a campaign ad;barely-true
10802;"""We are picking up oil with shovels and paper and plastic bags.""";oil-spill;Marco Rubio;" in an interview on ""Fox & Friends""";true
10803;"""You know, when this thing first hit, I signed a declaration of emergency for the six counties that were directly affected, impacted in the Panhandle, then I extended that not long thereafter down into Sarasota County.""";oil-spill;Charlie Crist; in a speech at the Florida Association of Counties conference;mostly-true
10804;"""I have spent virtually every weekend since Memorial Day in the Panhandle.""";oil-spill;Charlie Crist; in a speech at the Florida Association of Counties conference;true
10805;On the use of presidentially appointed commissions.;oil-spill;Barack Obama; in a campaign speech in Grand Junction, Colo.;full-flop
10806;"""West has raised $2 million from those that would leave our beaches in ruins, end Social Security and Medicare, and give corporations free reign.""";oil-spill;Ron Klein; in a fundraising e-mail;false
10807;"It was President Obama's ""inaction that caused over three weeks to go by before he even approved the governor's plan to protect our marsh.""";oil-spill;Steve Scalise; in an interview on Sean Hannity's show on Fox News;half-true
10808;"Canada ""does spills into their water to practice in the event that this would happen. That is not allowed in the United States.""";oil-spill;Mary Landrieu; in comments on 'Meet The Press';mostly-true
10809;"""Sen. George LeMieux voted to let oil companies off the hook and overturn pollution rules.""";oil-spill;Florida Conservation Alliance; in a television commercial;half-true
10810;"""Every day, oil continues to pour into the Gulf of Mexico. ... Even with disaster on our coast..., Richard Burr voted to let big oil off the hook.""";oil-spill;Americans United for Change; in a TV commercial;half-true
10811;"""In fact, oil spills from tankers are far more common than the very rare leaks from rigs or pipelines.""";oil-spill;Eric Johnson;;half-true
10812;"The U.S. spends $4 billion on research and development for energy, while spending $350 billion on oil from foreign countries, ""many of whom are our enemies.""";oil-spill;Jeff Greene; in a debate;half-true
10813;"""We only have 2 percent of the oil reserves in the world, and we consume 25 percent of the world's oil on a daily basis.""";oil-spill;Edward  Markey; in an interview on NBC's 'Meet the Press';mostly-true
10814;"""We get 30 percent of our oil from the Gulf (of Mexico).""";oil-spill;Orrin Hatch; in an interview on the Fox Business network;barely-true
10815;"""Oil companies showered regulators (at the Minerals Management Service) with gifts and favors, and were essentially allowed to conduct their own safety inspections and write their own regulations.""";oil-spill;Barack Obama; in a speech from the Oval Office;mostly-true
10816;"""The minute this proposal for near-beach oil drilling came up, I was against it.""";oil-spill;Alex Sink; in a speech;half-true
10817;"""The last major oil spill from a drilling accident in America happened over 40 years ago in 1969.""";oil-spill;Eric Johnson; in a blog post;false
10818;"""I've issued a six-month moratorium on deepwater drilling.""";oil-spill;Barack Obama; in an address from the Oval Office;half-true
10819;"The White House has ""refused"" international help in dealing with the oil spill.";oil-spill;George LeMieux; in an interview on CNN and a posting on Twitter;barely-true
10820;"""Right now every single one of the (oil) companies here today and dozens of others are drilling for free in the Gulf of Mexico on leases that will cost American taxpayers more than $50 billion in lost royalties.""";oil-spill;Edward  Markey; in a statement at a hearing of a House Energy and Commerce subcommittee;half-true
10821;"""While Exxon Mobil has 40 pages on its media response strategy, its plan for resource protection is only five pages long and its plan for oil removal is just nine pages long.""";oil-spill;Bart Stupak; in a Congressional hearing;mostly-true
10822;"Alex Sink was ""the first official who said that BP should pay $25 million for an ad campaign to promote Florida tourism.""";oil-spill;James Carville; in a fundraising letter;barely-true
10823;"The Obama administration ""has been constrained by the Oil Pollution Act of 1990, which basically gives the responsible party the lead role in trying to not only fix the problem, but contain the problem.""";oil-spill;Donna Brazile; in a discussion on ABC's 'This Week';false
10824;"""A major part"" of the climate change bill sponsored by Sens. John Kerry and Joe Lieberman ""was essentially written by BP.""";oil-spill;Mitch McConnell; in a Senate floor speech;false
10825;"The American Power Act ""would cut our dependence on oil in half.""";oil-spill;VoteVets.org; in a TV ad;half-true
10826;"After the oil spill, Congressman Adam Putnam ""doubled down saying all energy sources, including oil drilling in the Gulf, should be considered just days after the oil spill started.""";oil-spill;Scott Maddox; in email to supporters;half-true
10827;"""The Interior Department has only 30 days to review an exploration plan submitted by an oil company. That leaves no time for the appropriate environmental review. The result is, they are continually waived.""";oil-spill;Barack Obama; in a press conference at the White House;mostly-true
10828;"The federal government only ordered BP to pay ""to do one of those six segments"" of sand barriers for Louisiana.";oil-spill;Bobby Jindal;" in an interview on ABC news ""This Week''";mostly-true
10829;Halliburton gave Dick Cheney a $34 million payout when he left the company to join the presidential ticket.;oil-spill;Chris Matthews; in an interview with Jay Leno on NBC's The Tonight Show;true
10830;"""Rick Scott's even saying he wants more offshore drilling.""";oil-spill;Alex Sink; in email;true
10831;"""Louisiana Sen. Mary Landrieu received almost $1.8 million from BP over the last decade.""";oil-spill;Ed Schultz; in a broadcast of the Ed Show;pants-fire
10832;"""In the last 10 years we've only had 7,000 barrels of oil spilled in the Gulf ... not counting hurricanes. This well is spewing that amount every day and a half.""";oil-spill;Mary Landrieu; in an interview on CNN;mostly-true
10833;"Louisiana gets ""not one single penny"" from Gulf Coast offshore oil revenues.";oil-spill;Mary Landrieu; in an interview with MSNBC's Ed Schultz;false
10834;"""Incoming House Speaker Dean Cannon and incoming Senate President Mike Haridopolos have said they plan to champion efforts next legislative session to allow oil rigs off Florida's coast.""";oil-spill;Progress Florida; in a press release.;true
10835;"""At the moment, energy companies spend 0.25 percent on R&D.""";oil-spill;Katrina vanden Heuvel; in a roundtable discussion on ABC's 'This Week';true
10836;"A letter from BP to the Minerals Management Service ""actually recommends  improvements and specific recommendations around safety regulations  should they choose to change them.""";oil-spill;Lamar McKay; in an interview on ABC News' 'This Week';barely-true
10837;"""Brazil got off oil in the last 30 years.""";oil-spill;Bill Maher; in an interview on ABC News' 'This Week';false
10838;"""The governor switched his position once again on offshore oil drilling.""";oil-spill;Kendrick Meek; in an interview on CNN.;half-true
10839;“Liz Cheney cries like kids after loses in ‘primary’ against Trump’s pick,” two days before the primary election.;party-support;Facebook posts; in a Facebook post;pants-fire
10840;On endorsing former President Donald Trump in 2024;party-support;Tim Michels; in Public statement;half-flip
10841;"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""";party-support;Francesca Hong; in a tweet;true
10842;Says Republican leaders “are working hard to cover up election corruption in Wisconsin.”;party-support;Donald Trump; in Statement;pants-fire
10843;On supporting Liz Cheney for House Republican leadership position;party-support;Mike Gallagher; in Public statement;full-flop
10844;On running for governor as an independent.;party-support;Amanda Chase; in a radio interview.;half-flip
10845;Abigail Spanberger “has voted with Nancy Pelosi over 90% of the time…”;party-support;Nick Freitas; in a radio interview.;true
10846;Says America’s most violent cities are that way because of their Democratic politics;party-support;Facebook posts; in a Facebook post;barely-true
10847;Says the Republican Party started in Ripon, Wis., “to counter the Democrats’ plans to expand slavery.”;party-support;Facebook posts; in a Facebook post;half-true
10848;"Says “every time"" the DSCC endorsed someone in North Carolina's U.S. Senate primary, ""and the person they didn’t support was black, the candidate they picked ended up losing.""";party-support;William Barber; in a tweet;false
10849;"Says a photo shows ""25,000 outside all to hear the POTUS speak!""";party-support;Viral image; in a Facebook post;false
10850;"Says ""over 40 Republican leaders denounced"" Steve Watkins’ campaign";party-support;Democratic Congressional Campaign Committee; in a campaign ad;half-true
10851;“Young Americans across this country are no longer proud to be American.”;patriotism;Vivek Ramaswamy;" in an interview with ""Fox News Sunday""";half-true
10852;"""Donald Trump's appeasement of Putin wasn't just a personal act of treason, it's the Republican Party's official position.""";patriotism;VoteVets; in an ad;barely-true
10853;“The Biden White House had no representative” who came to honor the return of the 13 service members’ remains at Dover Air Force Base.;patriotism;Instagram posts; in an Instagram post;pants-fire
10854;“We know most of our forefathers, all of our main Founding Fathers were against slavery, recognized the evils of it.”;patriotism;Kayleigh McEnany; in a TV segment;barely-true
10855;"A Marine painted his house red, white and blue after he ""was told by his neighbors that he could not fly the American flag in his yard all year long.""";patriotism;Facebook posts; in a Facebook post;false
10856;Says James Mattis said, “If you burn the American flag you’ll spend two years in the military. I promise you, you’ll be cured of the desire to burn a flag ever again.”;patriotism;Viral image; in a Facebook post;false
